CarPlate,Price,Company,Number,Number of digits,Front Characters,Suffix characters,Total number of characters,Same digit througout,Sub repeated digits
SKW52Z,SOLD,Carplate,52,2,SKW,Z,6,0,0
SGT5050J,SOLD,Carplate,5050,4,SGT,J,8,0,0
SV9955U,SOLD,Carplate,9955,4,SV,U,7,0,1
SBP7979Y,SOLD,Carplate,7979,4,SBP,Y,8,0,0
EF183P,SOLD,Carplate,183,3,EF,P,6,0,0
SMX7777R,SOLD,Carplate,7777,4,SMX,R,8,1,1
SFM86M,SOLD,Carplate,86,2,SFM,M,6,0,0
SLR66Z,SOLD,Carplate,66,2,SLR,Z,6,1,1
ES252E,SOLD,Carplate,252,3,ES,E,6,0,0
SNB338A,SOLD,Carplate,338,3,SNB,A,7,0,1
SCY200Y,SOLD,Carplate,200,3,SCY,Y,7,0,1
SGD38M,SOLD,Carplate,38,2,SGD,M,6,0,0
SBV66X,SOLD,Carplate,66,2,SBV,X,6,1,1
GQ11X,SOLD,Carplate,11,2,GQ,X,5,1,1
SGY1133D,SOLD,Carplate,1133,4,SGY,D,8,0,1
SMZ8888L,SOLD,Carplate,8888,4,SMZ,L,8,1,1
SNC2818M,SOLD,Carplate,2818,4,SNC,M,8,0,0
ED20L,SOLD,Carplate,20,2,ED,L,5,0,0
SCV787L,SOLD,Carplate,787,3,SCV,L,7,0,0
ES3338Y,SOLD,Carplate,3338,4,ES,Y,7,0,1
SKG17K,SOLD,Carplate,17,2,SKG,K,6,0,0
SDS61B,SOLD,Carplate,61,2,SDS,B,6,0,0
GW6666K,SOLD,Carplate,6666,4,GW,K,7,1,1
EQ1234L,SOLD,Carplate,1234,4,EQ,L,7,0,0
SLB991L,SOLD,Carplate,991,3,SLB,L,7,0,1
EK3838M,SOLD,Carplate,3838,4,EK,M,7,0,0
EQ323U,SOLD,Carplate,323,3,EQ,U,6,0,0
SLM9998B,SOLD,Carplate,9998,4,SLM,B,8,0,1
SLS95J,SOLD,Carplate,95,2,SLS,J,6,0,0
GBC5Y,SOLD,Carplate,5,1,GBC,Y,5,0,0
SGS66C,SOLD,Carplate,66,2,SGS,C,6,1,1
SJV3131B,SOLD,Carplate,3131,4,SJV,B,8,0,0
