,Number,First Letter,Estimated_Price,CarPlate,Price,Company,Number of digits,Front Characters,Suffix characters,Total number of characters,Same digit througout,Sub repeated digits,Auspicious,suffix_number,first_letter,Antique,Price Range,Natural_break,number_group
0,1,S,176682.2142857143,SDH1H,268000,Carplate,1,SDH,H,5,0,0,No,14,18,0,24,20,1
1,1,S,176682.2142857143,SNF1A,258000,SGCarMart,1,SNF,A,5,0,0,No,1,18,0,24,20,1
2,1,S,176682.2142857143,SLZ1T,188888,Carplate,1,SLZ,T,5,0,0,No,6,18,0,23,18,1
3,1,S,176682.2142857143,SDW1D,188888,Carplate,1,SDW,D,5,0,0,No,17,18,0,23,18,1
4,1,S,176682.2142857143,SDW1D,188888,SGCarMart,1,SDW,D,5,0,0,No,17,18,0,23,18,1
5,1,S,176682.2142857143,SJF1Y,188000,Carplate,1,SJF,Y,5,0,0,No,3,18,0,23,18,1
6,1,S,176682.2142857143,SJF1Y,188000,SGCarMart,1,SJF,Y,5,0,0,No,3,18,0,23,18,1
7,1,S,176682.2142857143,SDP1R,188000,SGCarMart,1,SDP,R,5,0,0,No,8,18,0,23,18,1
8,1,S,176682.2142857143,SJF1Y,168000,CarPlateMart,1,SJF,Y,5,0,0,No,3,18,0,23,17,1
9,1,S,176682.2142857143,SKG1E,150000,SGCarMart,1,SKG,E,5,0,0,No,16,18,0,23,16,1
10,1,S,176682.2142857143,SFD1E,138000,Carplate,1,SFD,E,5,0,0,No,16,18,0,23,16,1
11,1,S,176682.2142857143,SKC1B,128888,Carplate,1,SKC,B,5,0,0,No,19,18,0,23,15,1
12,1,S,176682.2142857143,SKW1X,118000,SGCarMart,1,SKW,X,5,0,0,No,4,18,0,23,15,1
13,1,S,176682.2142857143,SKD1X,113999,SGCarMart,1,SKD,X,5,0,0,No,4,18,0,23,14,1
14,1,Y,33000.0,YJ1Z,33000,SGCarMart,1,YJ,Z,4,0,0,No,2,24,0,16,7,1
15,2,E,800000.0,EC2U,800000,Carplate,1,EC,U,4,0,0,No,5,4,1,28,25,1
16,2,F,12888.0,FN2A,16888,Carplate,1,FN,A,4,0,0,No,1,5,0,13,5,1
17,2,F,12888.0,FBM2C,8888,Carplate,1,FBM,C,5,0,0,No,18,5,0,8,3,1
18,2,G,28000.0,GY2E,28000,Carplate,1,GY,E,4,0,0,No,16,6,0,15,7,1
19,2,S,58185.066666666666,SGF2E,64800,CarPlateMart,1,SGF,E,5,0,0,No,16,18,0,19,11,1
20,2,S,58185.066666666666,SGF2E,64800,SGCarMart,1,SGF,E,5,0,0,No,16,18,0,19,11,1
21,2,S,58185.066666666666,SJQ2L,60800,SGCarMart,1,SJQ,L,5,0,0,No,11,18,0,19,10,1
22,2,S,58185.066666666666,SLN2D,60000,Carplate,1,SLN,D,5,0,0,No,17,18,0,18,10,1
23,2,S,58185.066666666666,SLM2J,60000,Carplate,1,SLM,J,5,0,0,No,13,18,0,18,10,1
24,2,S,58185.066666666666,SLM2J,60000,CarPlateMart,1,SLM,J,5,0,0,No,13,18,0,18,10,1
25,2,S,58185.066666666666,SLN2D,60000,CarPlateMart,1,SLN,D,5,0,0,No,17,18,0,18,10,1
26,2,S,58185.066666666666,SBK2M,59800,SGCarMart,1,SBK,M,5,0,0,No,10,18,0,18,10,1
27,2,S,58185.066666666666,SGF2E,58888,Carplate,1,SGF,E,5,0,0,No,16,18,0,18,10,1
28,2,S,58185.066666666666,SMD2U,58888,SGCarMart,1,SMD,U,5,0,0,No,5,18,0,18,10,1
29,2,S,58185.066666666666,SNA2Z,58000,SGCarMart,1,SNA,Z,5,0,0,No,2,18,0,18,10,1
30,2,S,58185.066666666666,SGW2R,58000,CarPlateMart,1,SGW,R,5,0,0,No,8,18,0,18,10,1
