,CarPlate,Price,Company,Number,Number of digits,Front Characters,Suffix characters,Total number of characters,Same digit througout,Sub repeated digits,Auspicious,First Letter,suffix_number,first_letter,Antique,Price Range,Natural_break,number_group
0,EL70A,99000,CarPlateMart,70,2,EL,A,5,0,0,0,E,1,4,1,22,14,2
1,SE61Y,98000,CarPlateMart,61,2,SE,Y,5,0,0,0,S,3,18,0,22,14,2
2,SW85J,90000,CarPlateMart,85,2,SW,J,5,0,0,1,S,13,18,0,21,13,2
3,SNE80B,9300,CarPlateMart,80,2,SNE,B,6,0,0,1,S,19,18,0,9,3,2
4,ET6265Z,8300,CarPlateMart,6265,4,ET,Z,7,0,0,0,E,2,4,1,8,3,33
5,SF5555B,75000,CarPlateMart,5555,4,SF,B,7,1,1,0,S,19,18,0,20,12,30
6,SDL444S,7800,CarPlateMart,444,3,SDL,S,7,1,1,0,S,7,18,0,7,3,5
7,SGF2E,64800,CarPlateMart,2,1,SGF,E,5,0,0,0,S,16,18,0,19,11,1
8,SGL67L,6800,CarPlateMart,67,2,SGL,L,6,0,0,0,S,11,18,0,6,2,2
9,SDA6500G,6500,CarPlateMart,6500,4,SDA,G,8,0,1,0,S,15,18,0,6,2,33
10,SMA7Y,55800,CarPlateMart,7,1,SMA,Y,5,0,0,0,S,3,18,0,18,10,1
11,SNB525B,5900,CarPlateMart,525,3,SNB,B,7,0,0,0,S,19,18,0,5,2,6
12,SCQ88Y,48800,CarPlateMart,88,2,SCQ,Y,6,1,1,1,S,3,18,0,17,9,2
13,SBK7007D,4888,CarPlateMart,7007,4,SBK,D,8,0,1,0,S,17,18,0,4,2,36
14,SMR363D,4800,CarPlateMart,363,3,SMR,D,7,0,0,0,S,17,18,0,4,2,4
15,SMY130Y,4500,CarPlateMart,130,3,SMY,Y,7,0,0,0,S,3,18,0,4,2,2
16,SDP7770H,4300,CarPlateMart,7770,4,SDP,H,8,0,1,0,S,14,18,0,4,1,39
17,SKU960M,3800,CarPlateMart,960,3,SKU,M,7,0,0,0,S,10,18,0,3,1,10
18,SGY1133D,3800,CarPlateMart,1133,4,SGY,D,8,0,1,0,S,17,18,0,3,1,11
19,SNE151E,3500,CarPlateMart,151,3,SNE,E,7,0,0,0,S,16,18,0,3,1,3
20,SFX5559A,3500,CarPlateMart,5559,4,SFX,A,8,0,1,0,S,1,18,0,3,1,30
21,SNE1221E,3300,CarPlateMart,1221,4,SNE,E,8,0,1,0,S,16,18,0,3,1,11
22,SJY4448R,3000,CarPlateMart,4448,4,SJY,R,8,0,1,1,S,8,18,0,2,1,26
23,SBJ8888B,28800,CarPlateMart,8888,4,SBJ,B,8,1,1,1,S,19,18,0,15,7,45
24,SMJ8888X,26800,CarPlateMart,8888,4,SMJ,X,8,1,1,1,S,4,18,0,15,7,45
25,SJZ18U,24800,CarPlateMart,18,2,SJZ,U,6,0,0,1,S,5,18,0,15,6,1
26,ET6888B,23888,CarPlateMart,6888,4,ET,B,7,0,1,1,E,19,4,1,15,6,35
27,SE7133C,21888,CarPlateMart,7133,4,SE,C,7,0,1,0,S,18,18,0,15,6,37
28,SGW9977T,2900,CarPlateMart,9977,4,SGW,T,8,0,1,0,S,6,18,0,2,1,50
29,SJW1116D,2800,CarPlateMart,1116,4,SJW,D,8,0,1,0,S,17,18,0,2,1,11
30,SGQ121L,2488,CarPlateMart,121,3,SGQ,L,7,0,0,0,S,11,18,0,2,1,2
31,SLS6662H,2300,CarPlateMart,6662,4,SLS,H,8,0,1,0,S,14,18,0,2,1,34
32,SGS705S,2280,CarPlateMart,705,3,SGS,S,7,0,0,0,S,7,18,0,2,1,7
33,SMY51S,18800,CarPlateMart,51,2,SMY,S,6,0,0,0,S,7,18,0,14,5,1
34,SFG44R,18000,CarPlateMart,44,2,SFG,R,6,1,1,0,S,8,18,0,13,5,1
35,SND19K,17800,CarPlateMart,19,2,SND,K,6,0,0,0,S,12,18,0,13,5,1
36,EP8833S,17800,CarPlateMart,8833,4,EP,S,7,0,1,1,E,7,4,1,13,5,45
37,EH9111C,16888,CarPlateMart,9111,4,EH,C,7,0,1,0,E,18,4,1,13,5,47
38,SKZ10D,16800,CarPlateMart,10,2,SKZ,D,6,0,0,0,S,17,18,0,13,5,1
39,EF1281H,16000,CarPlateMart,1281,4,EF,H,7,0,0,1,E,14,4,1,12,4,12
40,SX1091D,15800,CarPlateMart,1091,4,SX,D,7,0,0,0,S,17,18,0,12,4,11
41,SY6716Y,14800,CarPlateMart,6716,4,SY,Y,7,0,0,0,S,3,18,0,12,4,34
42,SV54D,138000,CarPlateMart,54,2,SV,D,5,0,0,0,S,17,18,0,23,16,1
43,SY333H,138000,CarPlateMart,333,3,SY,H,6,1,1,0,S,14,18,0,23,16,4
44,E181J,131800,CarPlateMart,181,3,E,J,5,0,0,1,E,13,4,1,23,15,3
45,EY7733G,12888,CarPlateMart,7733,4,EY,G,7,0,1,0,E,15,4,1,11,4,39
46,SFG15A,11800,CarPlateMart,15,2,SFG,A,6,0,0,0,S,1,18,0,10,4,1
47,SC39Z,108000,CarPlateMart,39,2,SC,Z,5,0,0,0,S,2,18,0,23,14,1
48,SNB3113L,1680,CarPlateMart,3113,4,SNB,L,8,0,1,0,S,11,18,0,1,1,20
49,EC92J,800000,Carplate,92,2,EC,J,5,0,0,0,E,13,4,1,28,25,2
50,EC2U,800000,Carplate,2,1,EC,U,4,0,0,0,E,5,4,1,28,25,1
51,SB81E,777777,SGCarMart,81,2,SB,E,5,0,0,1,S,16,18,0,28,25,2
52,EW3L,588000,Carplate,3,1,EW,L,4,0,0,0,E,11,4,1,27,24,1
53,E60A,400000,Carplate,60,2,E,A,4,0,0,0,E,1,4,1,25,23,2
54,EK3188E,388888,Carplate,3188,4,EK,E,7,0,1,1,E,16,4,1,25,23,21
55,SK77X,388000,Carplate,77,2,SK,X,5,1,1,0,S,4,18,0,25,23,2
56,EN111E,380000,Carplate,111,3,EN,E,6,1,1,0,E,16,4,1,25,23,2
57,S7788P,380000,Carplate,7788,4,S,P,6,0,1,1,S,9,18,0,25,23,39
58,EG88B,368000,Carplate,88,2,EG,B,5,1,1,1,E,19,4,1,25,23,2
59,SL22Z,350000,Carplate,22,2,SL,Z,5,1,1,0,S,2,18,0,25,22,1
60,E58H,350000,Carplate,58,2,E,H,4,0,0,1,E,14,4,1,25,22,2
61,SP95S,350000,Carplate,95,2,SP,S,5,0,0,0,S,7,18,0,25,22,2
62,EG88B,330000,CarPlateMart,88,2,EG,B,5,1,1,1,E,19,4,1,25,22,2
63,SF71M,300000,Carplate,71,2,SF,M,5,0,0,0,S,10,18,0,24,21,2
64,SS222B,300000,Carplate,222,3,SS,B,6,1,1,0,S,19,18,0,24,21,3
65,EV300J,300000,Carplate,300,3,EV,J,6,0,1,0,E,13,4,1,24,21,4
66,ES11J,288000,Carplate,11,2,ES,J,5,1,1,0,E,13,4,1,24,21,1
67,SE98S,288000,Carplate,98,2,SE,S,5,0,0,1,S,7,18,0,24,21,2
68,SF35T,288000,Carplate,35,2,SF,T,5,0,0,0,S,6,18,0,24,21,1
69,SR28B,288000,SGCarMart,28,2,SR,B,5,0,0,1,S,19,18,0,24,21,1
